Tab.2.5.34,,,,,,,
,,,,,,,
Ausländische Studierende in Deutschland nach Fächergruppen und Herkunftsstaaten 1),,,,,,,
,,,,,,,
,,Geisteswissenschaften 2),"Rechts-, Wirtschafts- und Sozialwissenschaften","Mathematik, Naturwissenschaften",Ingenieurwissenschaften,Humanmedizin/ Gesundheitswissenschaften,"Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin"
Staatsangehörigkeit,Wintersemester,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl
    Spanien,1998/1999,2275,1414,484,824,128,60
,1999/2000,2279,1456,536,893,128,52
,2000/2001,2302,1428,629,1017,155,57
,2001/2002,2245,1486,698,1000,156,80
,2002/2003,2217,1450,748,1114,173,71
,2003/2004,2130,1397,808,1141,188,75
,2004/2005,1986,1267,762,1148,191,80
,2005/2006,1726,1190,787,1194,184,71
,2006/2007,1633,1050,733,1132,186,65
,2007/2008,1520,990,649,1154,162,63
,2008/2009,1577,1178,657,1080,160,63
,2009/2010,1617,1329,629,1172,179,67
,2010/2011,1823,1428,678,1298,202,62
,2011/2012,2036,1574,751,1518,209,77
,2012/2013,2226,1754,911,1625,240,85
,2013/2014,2327,1757,926,1686,271,91
,2014/2015,2331,1702,973,1606,256,91
,2015/2016,2324,1899,892,1695,303,95
,2016/2017,2277,2110,957,1791,278,103
,2017/2018,2315,2106,948,1751,255,94
,2018/2019,2343,2149,966,1817,275,97
,2019/2020,2302,2111,1012,1759,300,89
    Tschechien,1998/1999,508,381,115,103,34,17
,1999/2000,569,427,139,113,28,16
,2000/2001,728,520,167,157,41,27
,2001/2002,838,638,199,224,50,35
,2002/2003,940,715,224,261,57,46
,2003/2004,1010,771,239,270,54,48
,2004/2005,1005,734,228,281,63,45
,2005/2006,950,715,209,256,65,46
,2006/2007,890,685,209,209,67,72
,2007/2008,846,591,184,212,72,60
,2008/2009,739,581,164,204,83,46
,2009/2010,710,559,174,183,76,49
,2010/2011,641,506,195,197,67,61
,2011/2012,665,562,209,197,93,43
,2012/2013,668,582,189,204,95,43
,2013/2014,621,593,214,234,86,43
,2014/2015,629,628,236,226,98,42
,2015/2016,545,637,155,318,97,35
,2016/2017,486,605,149,313,87,36
,2017/2018,472,581,153,298,93,33
,2018/2019,478,565,138,293,98,38
,2019/2020,425,555,144,253,90,28
    Ungarn,1998/1999,1048,732,214,176,70,45
,1999/2000,1126,838,265,211,85,43
,2000/2001,1197,875,311,249,93,54
,2001/2002,1253,968,294,239,95,65
,2002/2003,1323,1030,348,258,96,74
,2003/2004,1280,1006,312,254,92,80
,2004/2005,1115,940,325,247,111,66
,2005/2006,998,935,304,243,97,65
,2006/2007,903,871,265,241,102,52
,2007/2008,789,755,260,208,101,54
,2008/2009,763,803,241,198,91,64
,2009/2010,735,772,226,222,100,51
,2010/2011,710,716,225,227,100,42
,2011/2012,727,721,232,234,112,42
,2012/2013,720,732,258,269,120,48
,2013/2014,756,779,297,297,143,51
